Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 85): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 88): [0mTrying to register model: ../../assets/Modell_Ruine.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1396): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1398 : register_model
[33munity_dummy.cpp[0m[31m (line 91): [0mregistered model with id: 0
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 101): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 112): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 256(8097 nodes)
node size:  33152
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 255 MB 
GL 0.006144 ms
Frame: 3: g_rs.camera: 0x56b4127a8ed0
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x56b4127a8ed0
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x56b4127a8ed0
GL 61.3786 ms
Frame: 6: g_rs.camera: 0x56b4127a8ed0
GL 0.001024 ms
Frame: 7: g_rs.camera: 0x56b4127a8ed0
GL 0.001024 ms
Frame: 8: g_rs.camera: 0x56b4127a8ed0
GL 23.2858 ms
Frame: 9: g_rs.camera: 0x56b4127a8ed0
GL 0.00512 ms
GL 0.002048 ms
GL 0.007168 ms
GL 0.00512 ms
GL 0.011264 ms
GL 0.016384 ms
GL 0.012288 ms
GL 0.013312 ms
GL 0.013312 ms
GL 0.013312 ms
GL 0.013312 ms
GL 0.029696 ms
GL 0.0256 ms
GL 0.0256 ms
GL 0.0256 ms
GL 0.0256 ms
GL 0.0256 ms
GL 0.024576 ms
GL 0.0256 ms
GL 0.0256 ms
GL 0.0512 ms
GL 0.04608 ms
GL 0.047104 ms
GL 0.047104 ms
GL 0.04608 ms
GL 0.047104 ms
GL 0.048128 ms
GL 0.047104 ms
GL 0.048128 ms
GL 0.047104 ms
GL 0.04608 ms
GL 0.047104 ms
GL 0.047104 ms
GL 0.047104 ms
GL 0.04608 ms
GL 0.082944 ms
GL 0.077824 ms
GL 0.077824 ms
GL 0.078848 ms
GL 0.077824 ms
GL 0.077824 ms
GL 0.077824 ms
GL 0.0768 ms
GL 0.077824 ms
GL 0.0768 ms
GL 0.0768 ms
GL 0.0768 ms
GL 0.077824 ms
GL 0.0768 ms
GL 0.075776 ms
GL 0.077824 ms
GL 0.077824 ms
GL 0.080896 ms
GL 0.123904 ms
GL 0.11776 ms
GL 0.118784 ms
GL 0.118784 ms
GL 0.118784 ms
GL 0.119808 ms
GL 0.120832 ms
GL 0.120832 ms
GL 0.119808 ms
GL 0.119808 ms
GL 0.118784 ms
GL 0.119808 ms
GL 0.119808 ms
GL 0.118784 ms
GL 0.118784 ms
GL 0.118784 ms
GL 0.116736 ms
GL 0.11776 ms
GL 0.118784 ms
GL 0.120832 ms
GL 0.119808 ms
GL 0.118784 ms
GL 0.192512 ms
GL 0.187392 ms
GL 0.190464 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.188416 ms
GL 0.187392 ms
GL 0.190464 ms
GL 0.188416 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.18432 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.188416 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.18944 ms
GL 0.187392 ms
GL 0.188416 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.185344 ms
GL 0.18944 ms
GL 0.187392 ms
GL 0.3328 ms
GL 0.325632 ms
GL 0.323584 ms
GL 0.325632 ms
GL 0.325632 ms
GL 0.324608 ms
GL 0.324608 ms
GL 0.325632 ms
GL 0.326656 ms
GL 0.324608 ms
GL 0.324608 ms
GL 0.324608 ms
GL 0.325632 ms
GL 0.32768 ms
GL 0.325632 ms
GL 0.324608 ms
GL 0.30208 ms
GL 0.301056 ms
GL 0.301056 ms
GL 0.301056 ms
GL 0.303104 ms
GL 0.304128 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.303104 ms
GL 0.301056 ms
GL 0.300032 ms
GL 0.30208 ms
GL 0.304128 ms
GL 0.30208 ms
GL 0.301056 ms
GL 0.30208 ms
GL 0.303104 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.30208 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.301056 ms
GL 0.30208 ms
GL 0.303104 ms
GL 0.301056 ms
GL 0.303104 ms
GL 0.303104 ms
GL 0.305152 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.301056 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.30208 ms
GL 0.303104 ms
GL 0.304128 ms
GL 0.303104 ms
GL 0.301056 ms
GL 0.303104 ms
GL 0.30208 ms
GL 0.30208 ms
GL 0.523264 ms
GL 0.52224 ms
GL 0.52224 ms
GL 0.524288 ms
GL 0.52224 ms
GL 0.52224 ms
GL 0.520192 ms
GL 0.548864 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.540672 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.545792 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.541696 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.541696 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.541696 ms
GL 0.541696 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.540672 ms
GL 0.541696 ms
GL 0.544768 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.541696 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.544768 ms
GL 0.545792 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.545792 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.540672 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.545792 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.541696 ms
GL 0.54272 ms
GL 0.545792 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.545792 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.54272 ms
GL 0.544768 ms
GL 0.54272 ms
GL 0.543744 ms
GL 0.54272 ms
GL 0.541696 ms
