Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/Modell_Ruine.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
720
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(32388 nodes)
node size:  33152
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.009216 ms
Loaded camera view 'plamure_camera_Modell_Ruine_1'.
Frame: 3: g_rs.camera: 0x588b950ba790
GL 0 ms
Frame: 4: g_rs.camera: 0x588b950ba790
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x588b950ba790
GL 0 ms
Frame: 6: g_rs.camera: 0x588b950ba790
GL 242.834 ms
Frame: 7: g_rs.camera: 0x588b950ba790
GL 0.059392 ms
Frame: 8: g_rs.camera: 0x588b950ba790
GL 0.060416 ms
Frame: 9: g_rs.camera: 0x588b950ba790
GL 93.2966 ms
GL 0.091136 ms
GL 0.089088 ms
GL 0.090112 ms
GL 0.103424 ms
GL 0.100352 ms
GL 0.101376 ms
GL 0.11776 ms
GL 0.115712 ms
GL 0.115712 ms
GL 0.116736 ms
GL 0.141312 ms
GL 0.13824 ms
GL 0.139264 ms
GL 0.140288 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.165888 ms
GL 0.162816 ms
GL 0.162816 ms
GL 0.162816 ms
GL 0.16384 ms
GL 0.162816 ms
GL 0.16384 ms
GL 0.162816 ms
GL 0.162816 ms
GL 0.162816 ms
GL 0.16384 ms
GL 0.161792 ms
GL 0.162816 ms
GL 0.162816 ms
GL 0.18944 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.185344 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.185344 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.185344 ms
GL 0.185344 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.185344 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.185344 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.236544 ms
GL 0.232448 ms
GL 0.232448 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.232448 ms
GL 0.233472 ms
GL 0.234496 ms
GL 0.234496 ms
GL 0.232448 ms
GL 0.233472 ms
GL 0.232448 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.233472 ms
GL 0.23552 ms
GL 0.232448 ms
GL 0.233472 ms
GL 0.234496 ms
GL 0.232448 ms
GL 0.233472 ms
GL 0.232448 ms
GL 0.232448 ms
GL 0.232448 ms
GL 0.355328 ms
GL 0.35328 ms
GL 0.355328 ms
GL 0.35328 ms
GL 0.355328 ms
GL 0.35328 ms
GL 0.354304 ms
GL 0.355328 ms
GL 0.354304 ms
GL 0.35328 ms
GL 0.355328 ms
GL 0.355328 ms
GL 0.356352 ms
GL 0.355328 ms
GL 0.354304 ms
GL 0.354304 ms
GL 0.35328 ms
GL 0.5376 ms
GL 0.539648 ms
GL 0.534528 ms
GL 0.5376 ms
GL 0.536576 ms
GL 0.5376 ms
GL 0.535552 ms
GL 0.538624 ms
GL 0.539648 ms
GL 0.538624 ms
GL 0.538624 ms
GL 0.538624 ms
GL 0.540672 ms
GL 0.540672 ms
GL 0.536576 ms
GL 0.539648 ms
GL 0.536576 ms
GL 0.536576 ms
GL 0.535552 ms
GL 0.536576 ms
GL 0.536576 ms
GL 0.535552 ms
GL 0.535552 ms
GL 0.5376 ms
GL 0.536576 ms
GL 0.538624 ms
GL 0.536576 ms
GL 0.534528 ms
GL 0.538624 ms
GL 0.535552 ms
GL 0.535552 ms
GL 0.536576 ms
GL 0.538624 ms
GL 0.536576 ms
GL 0.5376 ms
GL 0.538624 ms
GL 0.5376 ms
GL 0.536576 ms
GL 0.536576 ms
GL 0.540672 ms
GL 0.536576 ms
GL 0.535552 ms
GL 0.539648 ms
GL 0.531456 ms
GL 0.484352 ms
GL 0.484352 ms
GL 0.483328 ms
GL 0.484352 ms
GL 0.482304 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.485376 ms
GL 0.487424 ms
GL 0.484352 ms
GL 0.483328 ms
GL 0.483328 ms
GL 0.485376 ms
GL 0.483328 ms
GL 0.487424 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.484352 ms
GL 0.485376 ms
GL 0.4864 ms
GL 0.484352 ms
GL 0.482304 ms
GL 0.483328 ms
GL 0.484352 ms
GL 0.4864 ms
GL 0.485376 ms
GL 0.483328 ms
GL 0.485376 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.484352 ms
GL 0.485376 ms
GL 0.4864 ms
GL 0.485376 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.483328 ms
GL 0.483328 ms
GL 0.484352 ms
GL 0.487424 ms
GL 0.484352 ms
GL 0.485376 ms
GL 0.483328 ms
GL 0.485376 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.487424 ms
GL 0.485376 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.485376 ms
GL 0.485376 ms
GL 0.4864 ms
GL 0.484352 ms
GL 0.483328 ms
GL 0.485376 ms
GL 0.4864 ms
GL 0.485376 ms
GL 0.482304 ms
GL 0.4864 ms
GL 0.485376 ms
GL 0.484352 ms
GL 0.483328 ms
GL 0.4864 ms
GL 0.484352 ms
GL 0.483328 ms
GL 0.484352 ms
GL 0.485376 ms
GL 0.4864 ms
GL 0.485376 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.4864 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.490496 ms
GL 0.490496 ms
GL 0.488448 ms
GL 0.490496 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.4864 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.4864 ms
GL 0.4864 ms
GL 0.490496 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.4864 ms
GL 0.489472 ms
GL 0.490496 ms
GL 0.490496 ms
GL 0.484352 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.49152 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.4864 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.4864 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.485376 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.490496 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.49152 ms
GL 0.4864 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.484352 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.489472 ms
GL 0.489472 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.490496 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.487424 ms
GL 0.4864 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.489472 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.485376 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.485376 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.4864 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.490496 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.4864 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.490496 ms
GL 0.485376 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.490496 ms
GL 0.489472 ms
GL 0.490496 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.489472 ms
GL 0.487424 ms
GL 0.489472 ms
GL 0.489472 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.487424 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.490496 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.488448 ms
GL 0.489472 ms
GL 0.488448 ms
GL 0.490496 ms
