Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/Schulgebaeude.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
3200
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(42420 nodes)
node size:  25312
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.007168 ms
No camera view plamure_camera_Schulgebaeude_1 found, won't load.
Frame: 3: g_rs.camera: 0x626a284d2c10
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x626a284d2c10
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x626a284d2c10
GL 247.41 ms
Frame: 6: g_rs.camera: 0x626a284d2c10
GL 0.003072 ms
Frame: 7: g_rs.camera: 0x626a284d2c10
GL 149.297 ms
Frame: 8: g_rs.camera: 0x626a284d2c10
GL 0.00512 ms
Frame: 9: g_rs.camera: 0x626a284d2c10
GL 0.008192 ms
GL 0.01024 ms
GL 0.007168 ms
GL 0.016384 ms
GL 0.012288 ms
GL 0.011264 ms
GL 0.028672 ms
GL 0.024576 ms
GL 0.0256 ms
GL 0.05632 ms
GL 0.050176 ms
GL 0.050176 ms
GL 0.050176 ms
GL 0.086016 ms
GL 0.080896 ms
GL 0.08192 ms
GL 0.080896 ms
GL 0.079872 ms
GL 0.079872 ms
GL 0.078848 ms
GL 0.078848 ms
GL 0.080896 ms
GL 0.079872 ms
GL 0.080896 ms
GL 0.079872 ms
GL 0.079872 ms
GL 0.080896 ms
GL 0.134144 ms
GL 0.126976 ms
GL 0.125952 ms
GL 0.125952 ms
GL 0.126976 ms
GL 0.125952 ms
GL 0.125952 ms
GL 0.124928 ms
GL 0.125952 ms
GL 0.124928 ms
GL 0.125952 ms
GL 0.125952 ms
GL 0.125952 ms
GL 0.198656 ms
GL 0.193536 ms
GL 0.195584 ms
GL 0.195584 ms
GL 0.196608 ms
GL 0.195584 ms
GL 0.196608 ms
GL 0.196608 ms
GL 0.196608 ms
GL 0.196608 ms
GL 0.196608 ms
GL 0.196608 ms
GL 0.195584 ms
GL 0.19456 ms
GL 0.19456 ms
GL 0.19456 ms
GL 0.196608 ms
GL 0.19456 ms
GL 0.19456 ms
GL 0.195584 ms
GL 0.19456 ms
GL 0.196608 ms
GL 0.195584 ms
GL 0.196608 ms
GL 0.195584 ms
GL 0.196608 ms
GL 0.269312 ms
GL 0.26624 ms
GL 0.265216 ms
GL 0.26624 ms
GL 0.262144 ms
GL 0.263168 ms
GL 0.269312 ms
GL 0.27136 ms
GL 0.269312 ms
GL 0.268288 ms
GL 0.268288 ms
GL 0.268288 ms
GL 0.26624 ms
GL 0.265216 ms
GL 0.262144 ms
GL 0.26624 ms
GL 0.267264 ms
GL 0.267264 ms
GL 0.268288 ms
GL 0.264192 ms
GL 0.267264 ms
GL 0.263168 ms
GL 0.267264 ms
GL 0.264192 ms
GL 0.26624 ms
GL 0.275456 ms
GL 0.27136 ms
GL 0.267264 ms
GL 0.267264 ms
GL 0.268288 ms
GL 0.265216 ms
GL 0.267264 ms
GL 0.26624 ms
GL 0.264192 ms
GL 0.264192 ms
GL 0.277504 ms
GL 0.270336 ms
GL 0.26112 ms
GL 0.264192 ms
GL 0.267264 ms
GL 0.267264 ms
GL 0.269312 ms
GL 0.26624 ms
GL 0.268288 ms
GL 0.270336 ms
GL 0.26624 ms
GL 0.272384 ms
GL 0.272384 ms
GL 0.268288 ms
GL 0.26624 ms
GL 0.268288 ms
GL 0.268288 ms
GL 0.264192 ms
GL 0.369664 ms
GL 0.369664 ms
GL 0.36864 ms
GL 0.369664 ms
GL 0.369664 ms
GL 0.371712 ms
GL 0.369664 ms
GL 0.36864 ms
GL 0.371712 ms
GL 0.371712 ms
GL 0.369664 ms
GL 0.369664 ms
GL 0.371712 ms
GL 0.36864 ms
GL 0.369664 ms
GL 0.371712 ms
GL 0.36864 ms
GL 0.370688 ms
GL 0.369664 ms
GL 0.367616 ms
GL 0.369664 ms
GL 0.369664 ms
GL 0.370688 ms
GL 0.36864 ms
GL 0.371712 ms
GL 0.371712 ms
GL 0.365568 ms
GL 0.372736 ms
GL 0.36864 ms
GL 0.36864 ms
GL 0.370688 ms
GL 0.365568 ms
GL 0.36864 ms
GL 0.369664 ms
GL 0.369664 ms
GL 0.367616 ms
GL 0.36864 ms
GL 0.36864 ms
GL 0.369664 ms
GL 0.36864 ms
GL 0.36864 ms
GL 0.369664 ms
GL 0.36864 ms
GL 0.36864 ms
GL 0.346112 ms
GL 0.347136 ms
GL 0.34816 ms
GL 0.349184 ms
GL 0.349184 ms
GL 0.346112 ms
GL 0.346112 ms
GL 0.346112 ms
GL 0.346112 ms
GL 0.347136 ms
GL 0.347136 ms
GL 0.347136 ms
GL 0.349184 ms
GL 0.347136 ms
GL 0.345088 ms
GL 0.349184 ms
GL 0.345088 ms
GL 0.34816 ms
GL 0.347136 ms
GL 0.347136 ms
GL 0.347136 ms
GL 0.346112 ms
GL 0.346112 ms
GL 0.347136 ms
GL 0.345088 ms
GL 0.34816 ms
GL 0.345088 ms
GL 0.346112 ms
GL 0.347136 ms
GL 0.347136 ms
GL 0.34816 ms
GL 0.34816 ms
GL 0.345088 ms
GL 0.34816 ms
GL 0.346112 ms
GL 0.347136 ms
GL 0.346112 ms
GL 0.34816 ms
GL 0.347136 ms
GL 0.349184 ms
GL 0.345088 ms
GL 0.347136 ms
GL 0.349184 ms
GL 0.34816 ms
GL 0.344064 ms
GL 0.34816 ms
GL 0.347136 ms
GL 0.346112 ms
GL 0.345088 ms
GL 0.349184 ms
GL 0.345088 ms
GL 0.589824 ms
GL 0.585728 ms
GL 0.585728 ms
GL 0.587776 ms
GL 0.586752 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.575488 ms
GL 0.575488 ms
GL 0.576512 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.57856 ms
GL 0.575488 ms
GL 0.576512 ms
GL 0.579584 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.579584 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.57856 ms
GL 0.57856 ms
GL 0.579584 ms
GL 0.579584 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.580608 ms
GL 0.575488 ms
GL 0.579584 ms
GL 0.57856 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.579584 ms
GL 0.581632 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.579584 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.579584 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.579584 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.579584 ms
GL 0.579584 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.575488 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.575488 ms
GL 0.580608 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.579584 ms
GL 0.575488 ms
GL 0.57856 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.574464 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.575488 ms
GL 0.580608 ms
GL 0.57856 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.579584 ms
GL 0.579584 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.580608 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.579584 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.579584 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.579584 ms
GL 0.576512 ms
GL 0.579584 ms
GL 0.576512 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.576512 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.579584 ms
GL 0.576512 ms
GL 0.579584 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.580608 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.577536 ms
GL 0.57856 ms
GL 0.579584 ms
GL 0.57856 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.575488 ms
GL 0.577536 ms
GL 0.575488 ms
GL 0.576512 ms
GL 0.57856 ms
GL 0.576512 ms
GL 0.576512 ms
GL 0.577536 ms
GL 1.0967 ms
GL 1.08851 ms
GL 1.08954 ms
GL 1.08749 ms
GL 1.09056 ms
GL 1.08954 ms
