Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 81): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 84): [0mTrying to register model: ../../assets/Modell_Ruine.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1368): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1370 : register_model
[33munity_dummy.cpp[0m[31m (line 87): [0mregistered model with id: 0
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 97): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 108): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 300(9488 nodes)
node size:  33152
lamure: context 0 upload budget (MB): 300
Render buf size is 299 MB 
Render buf size is 299 MB 
Render buf size is 299 MB 
GL 0.009216 ms
Frame: 3: g_rs.camera: 0x5c45909c2900
GL 0.000000 ms
Frame: 4: g_rs.camera: 0x5c45909c2900
GL 0.000000 ms
Frame: 5: g_rs.camera: 0x5c45909c2900
GL 0.001024 ms
Frame: 6: g_rs.camera: 0x5c45909c2900
GL 79.489024 ms
Frame: 7: g_rs.camera: 0x5c45909c2900
GL 0.121856 ms
Frame: 8: g_rs.camera: 0x5c45909c2900
GL 0.122880 ms
Frame: 9: g_rs.camera: 0x5c45909c2900
GL 30.174208 ms
GL 0.152576 ms
GL 0.147456 ms
GL 0.217088 ms
GL 0.210944 ms
GL 0.286720 ms
GL 0.328704 ms
GL 0.323584 ms
GL 0.387072 ms
GL 0.381952 ms
GL 0.380928 ms
GL 0.470016 ms
GL 0.465920 ms
GL 0.465920 ms
GL 0.465920 ms
GL 0.465920 ms
GL 0.464896 ms
GL 0.464896 ms
GL 0.464896 ms
GL 0.464896 ms
GL 0.556032 ms
GL 0.551936 ms
GL 0.550912 ms
GL 0.550912 ms
GL 0.552960 ms
GL 0.550912 ms
GL 0.551936 ms
GL 0.549888 ms
GL 0.709632 ms
GL 0.704512 ms
GL 0.707584 ms
GL 0.705536 ms
GL 0.706560 ms
GL 0.705536 ms
GL 0.705536 ms
GL 0.705536 ms
GL 0.705536 ms
GL 0.706560 ms
GL 0.704512 ms
GL 0.706560 ms
GL 0.706560 ms
GL 0.709632 ms
GL 0.705536 ms
GL 0.704512 ms
GL 0.705536 ms
GL 0.705536 ms
GL 0.704512 ms
GL 0.683008 ms
GL 0.641024 ms
GL 0.642048 ms
GL 0.643072 ms
GL 0.642048 ms
GL 0.642048 ms
GL 0.640000 ms
GL 0.642048 ms
GL 0.641024 ms
GL 0.643072 ms
GL 0.641024 ms
GL 0.642048 ms
GL 0.662528 ms
GL 0.643072 ms
GL 0.872448 ms
GL 0.867328 ms
GL 0.865280 ms
GL 0.865280 ms
GL 0.867328 ms
GL 0.866304 ms
GL 0.865280 ms
GL 0.868352 ms
GL 0.875520 ms
GL 0.866304 ms
GL 0.866304 ms
GL 0.867328 ms
GL 0.869376 ms
GL 0.868352 ms
GL 0.865280 ms
GL 0.867328 ms
GL 0.864256 ms
GL 0.866304 ms
GL 0.866304 ms
GL 0.866304 ms
GL 0.867328 ms
GL 0.867328 ms
GL 0.870400 ms
GL 0.867328 ms
GL 0.868352 ms
GL 0.867328 ms
GL 0.865280 ms
GL 0.868352 ms
GL 1.351680 ms
GL 1.334272 ms
GL 1.331200 ms
GL 1.332224 ms
GL 1.335296 ms
GL 1.334272 ms
GL 1.334272 ms
GL 1.334272 ms
GL 1.330176 ms
GL 1.335296 ms
GL 1.343488 ms
GL 1.334272 ms
GL 1.333248 ms
GL 1.335296 ms
GL 1.335296 ms
GL 1.334272 ms
GL 1.333248 ms
GL 1.336320 ms
GL 1.333248 ms
GL 1.334272 ms
GL 1.336320 ms
GL 1.341440 ms
GL 1.332224 ms
GL 1.333248 ms
GL 1.334272 ms
GL 1.337344 ms
GL 1.333248 ms
GL 1.333248 ms
GL 1.331200 ms
GL 1.334272 ms
GL 2.271232 ms
GL 2.334720 ms
GL 2.324480 ms
GL 2.313216 ms
GL 2.899968 ms
GL 2.314240 ms
GL 2.309120 ms
GL 2.316288 ms
GL 2.313216 ms
GL 2.312192 ms
GL 2.898944 ms
GL 2.314240 ms
GL 2.317312 ms
GL 2.314240 ms
GL 2.315264 ms
GL 2.312192 ms
GL 2.900992 ms
GL 2.306048 ms
GL 2.314240 ms
GL 2.315264 ms
GL 2.315264 ms
GL 2.317312 ms
GL 2.895872 ms
GL 2.317312 ms
GL 2.306048 ms
GL 2.311168 ms
GL 2.314240 ms
GL 2.314240 ms
GL 2.896896 ms
GL 2.314240 ms
GL 2.316288 ms
GL 2.314240 ms
GL 2.317312 ms
GL 2.313216 ms
GL 2.895872 ms
GL 2.319360 ms
GL 2.311168 ms
GL 2.312192 ms
GL 2.309120 ms
GL 2.310144 ms
GL 2.906112 ms
GL 2.322432 ms
GL 2.309120 ms
GL 2.314240 ms
GL 2.316288 ms
GL 2.310144 ms
GL 2.894848 ms
GL 2.306048 ms
GL 2.313216 ms
GL 2.309120 ms
GL 2.313216 ms
GL 2.313216 ms
GL 2.905088 ms
GL 2.310144 ms
GL 2.313216 ms
GL 2.313216 ms
GL 2.310144 ms
GL 2.312192 ms
GL 2.904064 ms
GL 2.317312 ms
GL 2.314240 ms
GL 2.311168 ms
GL 2.312192 ms
GL 2.310144 ms
GL 2.899968 ms
GL 2.314240 ms
GL 2.315264 ms
GL 2.317312 ms
GL 2.310144 ms
GL 2.313216 ms
GL 2.898944 ms
GL 2.313216 ms
GL 2.313216 ms
GL 2.317312 ms
GL 2.309120 ms
GL 2.312192 ms
GL 2.902016 ms
GL 2.310144 ms
GL 2.312192 ms
GL 2.309120 ms
GL 2.310144 ms
GL 2.309120 ms
GL 2.893824 ms
GL 2.314240 ms
GL 2.317312 ms
GL 2.311168 ms
GL 2.311168 ms
GL 2.315264 ms
GL 2.900992 ms
GL 2.313216 ms
GL 2.312192 ms
GL 2.314240 ms
GL 2.309120 ms
GL 2.312192 ms
GL 2.907136 ms
GL 2.312192 ms
GL 2.314240 ms
GL 2.316288 ms
GL 2.313216 ms
GL 2.313216 ms
GL 2.897920 ms
GL 2.317312 ms
GL 2.317312 ms
GL 2.314240 ms
GL 2.311168 ms
GL 2.313216 ms
GL 2.907136 ms
GL 2.614272 ms
GL 2.312192 ms
GL 2.315264 ms
GL 2.317312 ms
GL 2.316288 ms
GL 3.001344 ms
GL 2.318336 ms
GL 2.313216 ms
GL 2.306048 ms
GL 2.308096 ms
GL 2.312192 ms
GL 2.997248 ms
GL 2.312192 ms
GL 2.312192 ms
GL 2.312192 ms
GL 2.314240 ms
GL 2.315264 ms
GL 2.902016 ms
GL 2.307072 ms
GL 2.311168 ms
GL 2.313216 ms
GL 2.312192 ms
GL 2.312192 ms
GL 2.980864 ms
GL 2.313216 ms
GL 2.308096 ms
GL 2.316288 ms
GL 2.311168 ms
GL 2.311168 ms
GL 2.995200 ms
GL 2.311168 ms
GL 2.316288 ms
GL 2.314240 ms
GL 2.310144 ms
GL 2.316288 ms
GL 2.892800 ms
GL 2.310144 ms
GL 2.314240 ms
GL 2.311168 ms
GL 2.310144 ms
GL 2.311168 ms
GL 2.911232 ms
GL 2.312192 ms
GL 2.310144 ms
GL 2.311168 ms
GL 2.313216 ms
GL 2.313216 ms
GL 2.906112 ms
GL 2.311168 ms
GL 2.309120 ms
GL 2.308096 ms
GL 2.312192 ms
GL 2.308096 ms
GL 2.899968 ms
GL 2.313216 ms
GL 2.314240 ms
GL 2.312192 ms
GL 2.309120 ms
GL 2.313216 ms
GL 2.895872 ms
GL 2.314240 ms
GL 2.315264 ms
GL 2.307072 ms
GL 3.375104 ms
GL 3.386368 ms
GL 2.505728 ms
GL 2.315264 ms
GL 2.314240 ms
GL 2.315264 ms
GL 2.312192 ms
GL 2.503680 ms
GL 2.505728 ms
GL 2.313216 ms
GL 2.314240 ms
GL 2.313216 ms
GL 2.310144 ms
GL 2.900992 ms
GL 2.307072 ms
GL 2.313216 ms
GL 2.311168 ms
GL 2.313216 ms
GL 2.310144 ms
GL 2.905088 ms
GL 2.313216 ms
GL 2.310144 ms
GL 2.315264 ms
GL 2.313216 ms
GL 2.573312 ms
GL 2.502656 ms
GL 2.315264 ms
GL 2.312192 ms
GL 2.315264 ms
GL 2.312192 ms
GL 2.912256 ms
