Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 81): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 84): [0mTrying to register model: ../../assets/statue.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1368): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1370 : register_model
[33munity_dummy.cpp[0m[31m (line 87): [0mregistered model with id: 0
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 97): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 108): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 300(8240 nodes)
node size:  38176
lamure: context 0 upload budget (MB): 300
Render buf size is 299 MB 
Render buf size is 299 MB 
Render buf size is 299 MB 
GL 0.010240 ms
Frame: 3: g_rs.camera: 0x5c9147418400
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x5c9147418400
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x5c9147418400
GL 0.001024 ms
Frame: 6: g_rs.camera: 0x5c9147418400
GL 88.396800 ms
Frame: 7: g_rs.camera: 0x5c9147418400
GL 0.096256 ms
Frame: 8: g_rs.camera: 0x5c9147418400
GL 38.874112 ms
Frame: 9: g_rs.camera: 0x5c9147418400
GL 0.116736 ms
GL 0.112640 ms
GL 0.111616 ms
GL 0.148480 ms
GL 0.143360 ms
GL 0.189440 ms
GL 0.183296 ms
GL 0.256000 ms
GL 0.249856 ms
GL 0.249856 ms
GL 0.333824 ms
GL 0.329728 ms
GL 0.328704 ms
GL 0.415744 ms
GL 0.411648 ms
GL 0.411648 ms
GL 0.411648 ms
GL 0.470016 ms
GL 0.465920 ms
GL 0.463872 ms
GL 0.465920 ms
GL 0.464896 ms
GL 0.463872 ms
GL 0.464896 ms
GL 0.570368 ms
GL 0.566272 ms
GL 0.566272 ms
GL 0.566272 ms
GL 0.566272 ms
GL 0.565248 ms
GL 0.566272 ms
GL 0.566272 ms
GL 0.566272 ms
GL 0.694272 ms
GL 0.690176 ms
GL 0.688128 ms
GL 0.691200 ms
GL 0.690176 ms
GL 0.688128 ms
GL 0.691200 ms
GL 0.690176 ms
GL 0.690176 ms
GL 0.690176 ms
GL 0.691200 ms
GL 0.692224 ms
GL 0.690176 ms
GL 0.691200 ms
GL 0.689152 ms
GL 0.689152 ms
GL 0.689152 ms
GL 0.688128 ms
GL 0.996352 ms
GL 0.986112 ms
GL 0.988160 ms
GL 0.987136 ms
GL 0.988160 ms
GL 0.988160 ms
GL 0.988160 ms
GL 0.989184 ms
GL 0.988160 ms
GL 0.986112 ms
GL 1.000448 ms
GL 1.378304 ms
GL 1.375232 ms
GL 1.376256 ms
GL 1.377280 ms
GL 1.374208 ms
GL 1.673216 ms
GL 1.670144 ms
GL 1.662976 ms
GL 1.664000 ms
GL 1.667072 ms
GL 1.667072 ms
GL 1.667072 ms
GL 1.668096 ms
GL 1.666048 ms
GL 1.661952 ms
GL 1.531904 ms
GL 1.512448 ms
GL 1.511424 ms
GL 1.512448 ms
GL 1.511424 ms
GL 1.511424 ms
GL 1.514496 ms
GL 1.512448 ms
GL 1.512448 ms
GL 1.511424 ms
GL 1.509376 ms
GL 1.513472 ms
GL 1.512448 ms
GL 1.512448 ms
GL 1.513472 ms
GL 1.513472 ms
GL 1.512448 ms
GL 1.511424 ms
GL 1.515520 ms
GL 1.512448 ms
GL 1.512448 ms
GL 1.526784 ms
GL 1.511424 ms
GL 1.511424 ms
GL 1.515520 ms
GL 1.512448 ms
GL 1.510400 ms
GL 1.513472 ms
GL 1.513472 ms
GL 1.514496 ms
GL 1.512448 ms
GL 1.515520 ms
GL 1.513472 ms
GL 1.511424 ms
GL 1.510400 ms
GL 1.512448 ms
GL 1.513472 ms
GL 1.514496 ms
GL 1.511424 ms
GL 1.513472 ms
GL 1.513472 ms
GL 1.514496 ms
GL 1.512448 ms
GL 1.515520 ms
GL 1.514496 ms
GL 1.516544 ms
GL 1.509376 ms
GL 1.526784 ms
GL 1.512448 ms
GL 1.513472 ms
GL 1.515520 ms
GL 1.512448 ms
GL 1.515520 ms
GL 1.513472 ms
GL 1.512448 ms
GL 1.513472 ms
GL 1.511424 ms
GL 1.509376 ms
GL 1.512448 ms
GL 1.510400 ms
GL 1.511424 ms
GL 1.511424 ms
GL 1.510400 ms
GL 1.508352 ms
GL 1.526784 ms
GL 1.513472 ms
GL 1.511424 ms
GL 1.515520 ms
GL 1.514496 ms
GL 1.514496 ms
GL 1.512448 ms
GL 1.510400 ms
GL 1.512448 ms
GL 1.524736 ms
GL 1.515520 ms
GL 1.511424 ms
GL 1.514496 ms
GL 1.512448 ms
GL 1.515520 ms
GL 1.513472 ms
GL 1.516544 ms
GL 1.513472 ms
GL 1.532928 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.520640 ms
GL 1.524736 ms
GL 1.525760 ms
GL 1.524736 ms
GL 1.521664 ms
GL 1.537024 ms
GL 1.522688 ms
GL 1.527808 ms
GL 1.523712 ms
GL 1.525760 ms
GL 1.523712 ms
GL 1.520640 ms
GL 1.521664 ms
GL 1.523712 ms
GL 1.524736 ms
GL 1.522688 ms
GL 1.522688 ms
GL 1.523712 ms
GL 1.520640 ms
GL 1.522688 ms
GL 1.526784 ms
GL 1.525760 ms
GL 1.526784 ms
GL 1.524736 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.525760 ms
GL 1.521664 ms
GL 1.526784 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.521664 ms
GL 1.538048 ms
GL 1.522688 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.522688 ms
GL 1.523712 ms
GL 1.524736 ms
GL 1.520640 ms
GL 1.525760 ms
GL 1.538048 ms
GL 1.526784 ms
GL 1.522688 ms
GL 1.523712 ms
GL 1.525760 ms
GL 1.521664 ms
GL 1.522688 ms
GL 1.521664 ms
GL 1.531904 ms
GL 1.523712 ms
GL 1.521664 ms
GL 1.518592 ms
GL 1.523712 ms
GL 1.525760 ms
GL 1.522688 ms
GL 1.527808 ms
GL 1.524736 ms
GL 1.522688 ms
GL 1.526784 ms
GL 1.519616 ms
GL 1.524736 ms
GL 1.523712 ms
GL 1.521664 ms
GL 1.522688 ms
GL 1.523712 ms
GL 1.524736 ms
GL 1.537024 ms
GL 1.522688 ms
GL 1.524736 ms
GL 1.525760 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.525760 ms
GL 1.524736 ms
GL 1.525760 ms
GL 1.539072 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.522688 ms
GL 1.522688 ms
GL 1.521664 ms
GL 1.522688 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.536000 ms
GL 1.523712 ms
GL 1.519616 ms
GL 1.525760 ms
GL 1.518592 ms
GL 1.524736 ms
GL 1.520640 ms
GL 1.523712 ms
GL 1.524736 ms
GL 1.523712 ms
GL 1.536000 ms
GL 1.523712 ms
GL 1.523712 ms
GL 1.522688 ms
GL 1.525760 ms
GL 1.518592 ms
GL 1.523712 ms
GL 1.522688 ms
GL 1.534976 ms
GL 1.528832 ms
GL 1.526784 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.521664 ms
GL 1.525760 ms
GL 1.522688 ms
GL 1.522688 ms
GL 1.542144 ms
GL 1.519616 ms
GL 1.520640 ms
GL 1.521664 ms
GL 1.520640 ms
GL 1.522688 ms
GL 1.523712 ms
GL 1.526784 ms
GL 1.528832 ms
GL 1.530880 ms
GL 1.519616 ms
GL 1.526784 ms
GL 1.524736 ms
GL 1.522688 ms
GL 1.523712 ms
GL 1.521664 ms
GL 1.522688 ms
GL 1.523712 ms
GL 1.536000 ms
GL 1.525760 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.526784 ms
GL 1.522688 ms
GL 1.524736 ms
GL 1.522688 ms
GL 1.538048 ms
GL 1.520640 ms
GL 1.521664 ms
GL 1.524736 ms
GL 1.519616 ms
GL 1.523712 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.524736 ms
GL 1.543168 ms
GL 1.523712 ms
GL 1.525760 ms
GL 1.524736 ms
GL 1.525760 ms
GL 1.521664 ms
GL 1.526784 ms
GL 1.524736 ms
GL 1.524736 ms
