Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 85): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 88): [0mTrying to register model: ../../assets/Modell_Ruine.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1396): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1398 : register_model
[33munity_dummy.cpp[0m[31m (line 91): [0mregistered model with id: 0
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 101): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 112): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 256(8097 nodes)
node size:  33152
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 255 MB 
GL 0.009216 ms
Frame: 3: g_rs.camera: 0x5e4d4e3ac470
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x5e4d4e3ac470
GL 0 ms
Frame: 5: g_rs.camera: 0x5e4d4e3ac470
GL 62.5469 ms
Frame: 6: g_rs.camera: 0x5e4d4e3ac470
GL 0.072704 ms
Frame: 7: g_rs.camera: 0x5e4d4e3ac470
GL 0.072704 ms
Frame: 8: g_rs.camera: 0x5e4d4e3ac470
GL 23.1721 ms
Frame: 9: g_rs.camera: 0x5e4d4e3ac470
GL 0.096256 ms
GL 0.128 ms
GL 0.125952 ms
GL 0.125952 ms
GL 0.15872 ms
GL 0.156672 ms
GL 0.193536 ms
GL 0.190464 ms
GL 0.190464 ms
GL 0.191488 ms
GL 0.221184 ms
GL 0.22016 ms
GL 0.22016 ms
GL 0.219136 ms
GL 0.219136 ms
GL 0.219136 ms
GL 0.27648 ms
GL 0.272384 ms
GL 0.274432 ms
GL 0.273408 ms
GL 0.273408 ms
GL 0.273408 ms
GL 0.272384 ms
GL 0.273408 ms
GL 0.350208 ms
GL 0.347136 ms
GL 0.34816 ms
GL 0.349184 ms
GL 0.347136 ms
GL 0.34816 ms
GL 0.346112 ms
GL 0.34816 ms
GL 0.34816 ms
GL 0.347136 ms
GL 0.347136 ms
GL 0.346112 ms
GL 0.34816 ms
GL 0.48128 ms
GL 0.479232 ms
GL 0.479232 ms
GL 0.480256 ms
GL 0.478208 ms
GL 0.479232 ms
GL 0.480256 ms
GL 0.479232 ms
GL 0.48128 ms
GL 0.479232 ms
GL 0.480256 ms
GL 0.480256 ms
GL 0.478208 ms
GL 0.479232 ms
GL 0.478208 ms
GL 0.48128 ms
GL 0.480256 ms
GL 0.480256 ms
GL 0.758784 ms
GL 0.75776 ms
GL 0.758784 ms
GL 0.755712 ms
GL 0.75776 ms
GL 0.758784 ms
GL 0.756736 ms
GL 0.756736 ms
GL 0.755712 ms
GL 0.75776 ms
GL 0.756736 ms
GL 0.758784 ms
GL 0.759808 ms
GL 0.755712 ms
GL 1.0793 ms
GL 1.14688 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.14586 ms
GL 1.14688 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.14893 ms
GL 1.1479 ms
GL 1.14893 ms
GL 1.1479 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.15098 ms
GL 1.152 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.14586 ms
GL 1.1479 ms
GL 1.14586 ms
GL 1.14483 ms
GL 1.14176 ms
GL 1.14688 ms
GL 1.14995 ms
GL 1.14688 ms
GL 1.14995 ms
GL 1.14893 ms
GL 1.1479 ms
GL 1.1479 ms
GL 1.14483 ms
GL 1.1479 ms
GL 1.1479 ms
GL 1.14586 ms
GL 1.1479 ms
GL 1.14586 ms
GL 1.14893 ms
GL 1.14483 ms
GL 1.14586 ms
GL 1.1479 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.14995 ms
GL 1.14995 ms
GL 1.14688 ms
GL 1.14483 ms
GL 1.14688 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.15814 ms
GL 1.15917 ms
GL 1.1561 ms
GL 1.15814 ms
GL 1.15712 ms
GL 1.15405 ms
GL 1.1561 ms
GL 1.15507 ms
GL 1.15405 ms
GL 1.152 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.14995 ms
GL 1.15098 ms
GL 1.14586 ms
GL 1.14381 ms
GL 1.14893 ms
GL 1.15098 ms
GL 1.14893 ms
GL 1.14893 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.14483 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.15098 ms
GL 1.14483 ms
GL 1.14688 ms
GL 1.15098 ms
GL 1.14586 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.1479 ms
GL 1.1479 ms
GL 1.1479 ms
GL 1.14893 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.14893 ms
GL 1.14688 ms
GL 1.14995 ms
GL 1.14995 ms
GL 1.15098 ms
GL 1.14586 ms
GL 1.14688 ms
GL 1.14688 ms
GL 1.14893 ms
GL 1.14688 ms
GL 1.14483 ms
GL 1.14688 ms
GL 1.14688 ms
GL 1.14381 ms
GL 1.14688 ms
GL 1.1479 ms
GL 1.14995 ms
GL 1.14586 ms
GL 1.14688 ms
GL 1.14688 ms
GL 1.14586 ms
GL 1.14381 ms
GL 1.14586 ms
GL 1.14688 ms
GL 1.14381 ms
GL 1.1479 ms
GL 1.14688 ms
GL 1.14483 ms
GL 1.14586 ms
GL 1.14893 ms
GL 1.05472 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.05574 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.05165 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.04755 ms
GL 1.0537 ms
GL 1.05267 ms
GL 1.04858 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.05165 ms
GL 1.05267 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.05267 ms
GL 1.04858 ms
GL 1.04858 ms
GL 1.05267 ms
GL 1.05165 ms
GL 1.05267 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.05062 ms
GL 1.04653 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.05267 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.04858 ms
GL 1.04755 ms
GL 1.04858 ms
GL 1.04653 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.04653 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.05165 ms
GL 1.04858 ms
GL 1.04755 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.05267 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.05267 ms
GL 1.05267 ms
GL 1.05267 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.05267 ms
GL 1.04755 ms
GL 1.05267 ms
GL 1.05062 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.04653 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.04755 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.05267 ms
GL 1.04858 ms
GL 1.04755 ms
GL 1.0537 ms
GL 1.04755 ms
GL 1.0496 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.0537 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.04755 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.05267 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.0537 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.04448 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.05267 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.04653 ms
GL 1.05267 ms
GL 1.05062 ms
GL 1.0537 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.05165 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.05267 ms
GL 1.05165 ms
GL 1.04755 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.05267 ms
GL 1.05267 ms
GL 1.05062 ms
GL 1.05267 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.05062 ms
GL 1.04858 ms
GL 1.05165 ms
GL 1.0496 ms
GL 1.04755 ms
GL 1.04755 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.05267 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.05165 ms
GL 1.04858 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.05165 ms
GL 1.05062 ms
GL 1.0496 ms
GL 1.04858 ms
GL 1.0496 ms
GL 1.05062 ms
GL 1.05062 ms
