Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/Modell_Ruine.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
1440
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(32388 nodes)
node size:  33152
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.007168 ms
Loaded camera view 'plamure_camera_Modell_Ruine_1'.
Frame: 3: g_rs.camera: 0x5a11de496630
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x5a11de496630
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x5a11de496630
GL 0.001024 ms
Frame: 6: g_rs.camera: 0x5a11de496630
GL 235.868 ms
Frame: 7: g_rs.camera: 0x5a11de496630
GL 0.029696 ms
Frame: 8: g_rs.camera: 0x5a11de496630
GL 0.029696 ms
Frame: 9: g_rs.camera: 0x5a11de496630
GL 104.266 ms
GL 0.04096 ms
GL 0.036864 ms
GL 0.036864 ms
GL 0.047104 ms
GL 0.041984 ms
GL 0.041984 ms
GL 0.04608 ms
GL 0.041984 ms
GL 0.04096 ms
GL 0.052224 ms
GL 0.048128 ms
GL 0.048128 ms
GL 0.048128 ms
GL 0.048128 ms
GL 0.049152 ms
GL 0.048128 ms
GL 0.048128 ms
GL 0.060416 ms
GL 0.05632 ms
GL 0.055296 ms
GL 0.055296 ms
GL 0.05632 ms
GL 0.055296 ms
GL 0.055296 ms
GL 0.05632 ms
GL 0.055296 ms
GL 0.070656 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.06656 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.067584 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.067584 ms
GL 0.08704 ms
GL 0.08192 ms
GL 0.08192 ms
GL 0.08192 ms
GL 0.08192 ms
GL 0.08192 ms
GL 0.08192 ms
GL 0.080896 ms
GL 0.082944 ms
GL 0.08192 ms
GL 0.105472 ms
GL 0.10752 ms
GL 0.103424 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.103424 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.103424 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.103424 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.1024 ms
GL 0.103424 ms
GL 0.14336 ms
GL 0.140288 ms
GL 0.160768 ms
GL 0.140288 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.13824 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.13824 ms
GL 0.13824 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.13824 ms
GL 0.139264 ms
GL 0.139264 ms
GL 0.140288 ms
GL 0.13824 ms
GL 0.139264 ms
GL 0.190464 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.188416 ms
GL 0.188416 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.187392 ms
GL 0.186368 ms
GL 0.187392 ms
GL 0.175104 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.169984 ms
GL 0.169984 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.16896 ms
GL 0.172032 ms
GL 0.169984 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.171008 ms
GL 0.169984 ms
GL 0.282624 ms
GL 0.2816 ms
GL 0.279552 ms
GL 0.278528 ms
GL 0.279552 ms
GL 0.279552 ms
GL 0.280576 ms
GL 0.279552 ms
GL 0.279552 ms
GL 0.280576 ms
GL 0.279552 ms
GL 0.278528 ms
GL 0.2816 ms
GL 0.280576 ms
GL 0.278528 ms
GL 0.278528 ms
GL 0.278528 ms
GL 0.279552 ms
GL 0.279552 ms
GL 0.279552 ms
GL 0.278528 ms
GL 0.279552 ms
GL 0.279552 ms
GL 0.278528 ms
GL 0.279552 ms
GL 0.279552 ms
GL 0.278528 ms
GL 0.279552 ms
GL 0.279552 ms
GL 0.434176 ms
GL 0.425984 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.420864 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.42496 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.420864 ms
GL 0.423936 ms
GL 0.42496 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.42496 ms
GL 0.42496 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.442368 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.420864 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.420864 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.420864 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.420864 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.42496 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.421888 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.42496 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.421888 ms
GL 0.423936 ms
GL 0.422912 ms
GL 0.423936 ms
GL 0.421888 ms
