Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/Modell_Ruine.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
3200
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(32388 nodes)
node size:  33152
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.007168 ms
Loaded camera view 'plamure_camera_Modell_Ruine_1'.
Frame: 3: g_rs.camera: 0x61b236ab3ea0
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x61b236ab3ea0
GL 0 ms
Frame: 5: g_rs.camera: 0x61b236ab3ea0
GL 237.746 ms
Frame: 6: g_rs.camera: 0x61b236ab3ea0
GL 0.024576 ms
Frame: 7: g_rs.camera: 0x61b236ab3ea0
GL 0.023552 ms
Frame: 8: g_rs.camera: 0x61b236ab3ea0
GL 93.4298 ms
Frame: 9: g_rs.camera: 0x61b236ab3ea0
GL 0.064512 ms
GL 0.06144 ms
GL 0.088064 ms
GL 0.130048 ms
GL 0.126976 ms
GL 0.198656 ms
GL 0.19456 ms
GL 0.263168 ms
GL 0.260096 ms
GL 0.259072 ms
GL 0.338944 ms
GL 0.335872 ms
GL 0.335872 ms
GL 0.334848 ms
GL 0.334848 ms
GL 0.391168 ms
GL 0.388096 ms
GL 0.38912 ms
GL 0.38912 ms
GL 0.416768 ms
GL 0.411648 ms
GL 0.411648 ms
GL 0.412672 ms
GL 0.411648 ms
GL 0.411648 ms
GL 0.410624 ms
GL 0.411648 ms
GL 0.411648 ms
GL 0.411648 ms
GL 0.411648 ms
GL 0.482304 ms
GL 0.479232 ms
GL 0.478208 ms
GL 0.479232 ms
GL 0.478208 ms
GL 0.479232 ms
GL 0.478208 ms
GL 0.561152 ms
GL 0.55808 ms
GL 0.557056 ms
GL 0.55808 ms
GL 0.55808 ms
GL 0.55808 ms
GL 0.557056 ms
GL 0.55808 ms
GL 0.55808 ms
GL 0.557056 ms
GL 0.688128 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.683008 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.684032 ms
GL 0.683008 ms
GL 0.683008 ms
GL 0.857088 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.854016 ms
GL 0.854016 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.854016 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.856064 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 0.85504 ms
GL 1.06496 ms
GL 1.06291 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06291 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.06086 ms
GL 1.06189 ms
GL 1.06086 ms
GL 1.37421 ms
GL 1.3609 ms
GL 1.3609 ms
GL 1.3609 ms
GL 1.36192 ms
GL 1.3609 ms
GL 1.36192 ms
GL 1.75923 ms
GL 1.3609 ms
GL 1.36192 ms
GL 1.75821 ms
GL 1.76128 ms
GL 1.35987 ms
GL 1.35885 ms
GL 1.7623 ms
GL 1.3609 ms
GL 1.3609 ms
GL 1.75923 ms
GL 1.75821 ms
GL 1.3609 ms
GL 1.35987 ms
GL 1.35885 ms
GL 1.76026 ms
GL 1.3609 ms
GL 1.35987 ms
GL 1.76026 ms
GL 1.35987 ms
GL 1.3609 ms
GL 1.36192 ms
GL 1.35885 ms
GL 1.75718 ms
GL 1.76026 ms
GL 1.77152 ms
GL 1.3609 ms
GL 1.75923 ms
GL 1.3609 ms
GL 1.35987 ms
GL 1.3609 ms
GL 1.75923 ms
GL 1.75923 ms
GL 1.76538 ms
GL 1.76128 ms
GL 1.36192 ms
GL 1.76026 ms
GL 1.76128 ms
GL 1.76026 ms
GL 1.75923 ms
GL 1.75821 ms
GL 1.75718 ms
GL 1.3609 ms
GL 1.3609 ms
GL 1.76128 ms
GL 1.36192 ms
GL 1.36192 ms
GL 1.3609 ms
GL 1.36397 ms
GL 1.75821 ms
GL 1.75821 ms
GL 1.3609 ms
GL 1.3609 ms
GL 1.3609 ms
GL 1.76026 ms
GL 1.7623 ms
GL 1.75718 ms
GL 1.75821 ms
GL 1.7623 ms
GL 1.76026 ms
GL 1.76128 ms
GL 1.83398 ms
GL 1.82989 ms
GL 1.83194 ms
GL 1.83091 ms
GL 1.83194 ms
GL 1.83194 ms
GL 1.83194 ms
GL 1.83296 ms
GL 1.82886 ms
GL 1.82374 ms
GL 1.82374 ms
GL 1.82477 ms
GL 1.82272 ms
GL 1.82374 ms
GL 1.82374 ms
GL 1.82477 ms
GL 1.8217 ms
GL 1.8217 ms
GL 1.82272 ms
GL 1.82477 ms
GL 1.82579 ms
GL 1.82067 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.81965 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.82272 ms
GL 1.82067 ms
GL 1.8217 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.82067 ms
GL 1.82374 ms
GL 1.82374 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.8217 ms
GL 1.8217 ms
GL 1.82374 ms
GL 1.82477 ms
GL 1.8217 ms
GL 1.82067 ms
GL 1.8217 ms
GL 1.82374 ms
GL 1.82477 ms
GL 1.82477 ms
GL 1.82579 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.8217 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.82067 ms
GL 1.82477 ms
GL 1.82374 ms
GL 1.81965 ms
GL 1.82477 ms
GL 1.82477 ms
GL 1.82374 ms
GL 1.82682 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.8217 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.82374 ms
GL 1.8217 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.82374 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.82272 ms
GL 1.81965 ms
GL 1.8217 ms
GL 1.82067 ms
GL 1.82477 ms
GL 1.8217 ms
GL 1.82272 ms
GL 1.82374 ms
GL 1.82579 ms
GL 1.82374 ms
GL 1.82374 ms
GL 1.82272 ms
GL 1.8217 ms
GL 1.82272 ms
GL 2.56819 ms
GL 2.5641 ms
GL 2.56 ms
GL 2.56205 ms
GL 2.56205 ms
GL 2.56307 ms
GL 2.56102 ms
GL 2.56205 ms
GL 2.56102 ms
GL 2.55181 ms
GL 2.55386 ms
GL 2.54874 ms
GL 2.55488 ms
GL 2.55181 ms
GL 2.54976 ms
GL 2.55078 ms
GL 2.55078 ms
GL 2.55283 ms
GL 2.54771 ms
GL 2.55386 ms
GL 2.55181 ms
GL 2.55386 ms
GL 2.5559 ms
GL 2.55283 ms
GL 2.55283 ms
GL 2.5559 ms
GL 2.54976 ms
GL 2.55283 ms
GL 2.55488 ms
GL 2.55386 ms
GL 2.55488 ms
GL 2.55078 ms
GL 2.55386 ms
GL 2.55488 ms
GL 2.55386 ms
GL 2.55386 ms
GL 2.55078 ms
GL 2.55693 ms
GL 2.55283 ms
GL 2.55488 ms
GL 2.55181 ms
GL 2.55283 ms
GL 2.55283 ms
GL 2.55283 ms
GL 2.55693 ms
GL 2.55386 ms
GL 2.5559 ms
GL 2.55386 ms
GL 2.55283 ms
GL 2.55488 ms
GL 2.55283 ms
GL 2.55283 ms
GL 2.55795 ms
GL 2.55283 ms
GL 2.55283 ms
GL 2.55078 ms
GL 2.55488 ms
GL 2.55488 ms
GL 2.55386 ms
GL 2.55283 ms
GL 2.55386 ms
GL 2.55386 ms
GL 2.5559 ms
GL 2.55283 ms
GL 2.55488 ms
GL 2.55181 ms
GL 2.5559 ms
GL 2.55386 ms
GL 2.55488 ms
GL 2.55078 ms
GL 2.5559 ms
GL 2.55898 ms
GL 2.55078 ms
GL 2.55283 ms
GL 2.55488 ms
GL 2.55078 ms
GL 2.55386 ms
GL 2.55283 ms
GL 2.55283 ms
GL 2.55181 ms
GL 2.55795 ms
GL 2.55898 ms
GL 2.55283 ms
GL 2.55488 ms
GL 2.55283 ms
GL 2.55283 ms
GL 2.55693 ms
GL 2.54874 ms
GL 2.55488 ms
GL 2.55386 ms
GL 2.55181 ms
GL 2.55386 ms
GL 2.55283 ms
GL 2.55488 ms
GL 2.55386 ms
GL 2.55181 ms
GL 2.55181 ms
GL 2.55488 ms
GL 2.55386 ms
GL 2.55386 ms
GL 2.55386 ms
GL 2.55488 ms
GL 2.55181 ms
GL 2.82419 ms
GL 2.55488 ms
GL 2.55898 ms
GL 2.55181 ms
GL 2.55283 ms
GL 2.55386 ms
GL 2.54976 ms
