Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/statue.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
2160
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(28126 nodes)
node size:  38176
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.009216 ms
Loaded camera view 'plamure_camera_statue_1'.
Frame: 3: g_rs.camera: 0x593938b21820
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x593938b21820
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x593938b21820
GL 235.013 ms
Frame: 6: g_rs.camera: 0x593938b21820
GL 0.77824 ms
Frame: 7: g_rs.camera: 0x593938b21820
GL 94.3227 ms
Frame: 8: g_rs.camera: 0x593938b21820
GL 0.70656 ms
Frame: 9: g_rs.camera: 0x593938b21820
GL 0.785408 ms
GL 0.842752 ms
GL 0.838656 ms
GL 0.836608 ms
GL 0.959488 ms
GL 0.950272 ms
GL 1.1049 ms
GL 1.09773 ms
GL 1.32506 ms
GL 1.31686 ms
GL 1.69267 ms
GL 1.68653 ms
GL 1.68448 ms
GL 2.2528 ms
GL 2.24768 ms
GL 2.23642 ms
GL 2.24358 ms
GL 2.24256 ms
GL 3.00851 ms
GL 2.99725 ms
GL 2.99315 ms
GL 3.90451 ms
GL 3.8953 ms
GL 3.90042 ms
GL 3.89222 ms
GL 4.82099 ms
GL 4.81792 ms
GL 4.81792 ms
GL 4.81792 ms
GL 4.8169 ms
GL 4.55373 ms
GL 4.44006 ms
GL 5.3463 ms
GL 5.33606 ms
GL 5.33914 ms
GL 5.34016 ms
GL 5.34221 ms
GL 5.33709 ms
GL 5.34118 ms
GL 5.33709 ms
GL 5.66886 ms
GL 5.66374 ms
GL 5.66579 ms
GL 5.66886 ms
GL 5.67091 ms
GL 5.66682 ms
GL 5.66579 ms
GL 6.55155 ms
GL 6.54029 ms
GL 6.54643 ms
GL 6.54541 ms
GL 6.54438 ms
GL 6.54029 ms
GL 6.54234 ms
GL 6.54131 ms
GL 6.54438 ms
GL 6.54643 ms
GL 6.58227 ms
GL 6.58227 ms
GL 6.59456 ms
GL 6.59558 ms
GL 6.59149 ms
GL 6.59456 ms
GL 6.59456 ms
GL 6.59354 ms
GL 6.59354 ms
GL 6.59661 ms
GL 6.59354 ms
GL 6.59456 ms
GL 6.59456 ms
GL 6.59456 ms
GL 6.59763 ms
GL 6.59354 ms
GL 6.59251 ms
GL 6.59661 ms
GL 6.59251 ms
GL 9.11053 ms
GL 9.10746 ms
GL 9.10438 ms
GL 9.1095 ms
GL 9.09926 ms
GL 9.10643 ms
GL 9.10746 ms
GL 9.09517 ms
GL 9.09722 ms
GL 9.09824 ms
GL 9.09824 ms
GL 9.09517 ms
GL 9.09824 ms
GL 9.10131 ms
GL 9.09619 ms
GL 13.7216 ms
GL 13.739 ms
GL 13.7513 ms
GL 13.7021 ms
GL 13.696 ms
GL 13.7062 ms
GL 13.7001 ms
GL 13.7073 ms
GL 13.698 ms
GL 13.7011 ms
GL 13.697 ms
GL 13.697 ms
GL 13.7042 ms
GL 13.6929 ms
GL 13.6991 ms
GL 13.7083 ms
GL 13.6991 ms
GL 13.7001 ms
GL 13.6991 ms
GL 13.7021 ms
GL 13.7001 ms
GL 13.696 ms
GL 13.7032 ms
GL 13.7001 ms
GL 13.9817 ms
GL 13.7021 ms
GL 13.7021 ms
GL 13.7001 ms
GL 13.7001 ms
GL 13.695 ms
GL 13.7062 ms
GL 13.6991 ms
GL 13.696 ms
GL 13.7042 ms
GL 13.6919 ms
GL 13.7093 ms
GL 13.6929 ms
GL 13.6991 ms
GL 13.7083 ms
GL 13.9674 ms
GL 13.7052 ms
GL 13.7083 ms
GL 13.6991 ms
GL 13.7073 ms
GL 13.7093 ms
GL 13.7011 ms
GL 13.698 ms
GL 13.6991 ms
GL 13.697 ms
GL 13.6847 ms
GL 13.7011 ms
GL 13.7052 ms
GL 13.7011 ms
GL 13.7032 ms
GL 13.7032 ms
GL 13.694 ms
GL 13.6909 ms
GL 13.698 ms
GL 13.7011 ms
GL 13.7062 ms
GL 13.7042 ms
GL 13.7042 ms
GL 13.6919 ms
GL 13.7103 ms
GL 13.6991 ms
GL 13.697 ms
GL 13.7052 ms
GL 13.7073 ms
GL 13.7083 ms
GL 13.7062 ms
GL 13.698 ms
GL 13.7062 ms
GL 13.7032 ms
GL 13.6991 ms
GL 13.6991 ms
GL 13.7073 ms
GL 13.6919 ms
GL 13.7062 ms
GL 13.7052 ms
GL 13.7083 ms
GL 13.697 ms
GL 13.7021 ms
GL 13.7073 ms
GL 13.7042 ms
GL 13.7042 ms
GL 13.7042 ms
GL 13.698 ms
GL 13.6991 ms
GL 13.7011 ms
GL 13.7011 ms
GL 13.7011 ms
GL 13.697 ms
GL 13.6919 ms
GL 14.2469 ms
GL 13.6991 ms
GL 13.7114 ms
GL 13.698 ms
GL 13.7011 ms
GL 13.7062 ms
GL 13.697 ms
GL 13.698 ms
GL 13.7083 ms
GL 13.7042 ms
GL 13.698 ms
GL 14.2275 ms
GL 13.7021 ms
GL 13.7001 ms
GL 13.7021 ms
GL 13.7011 ms
GL 13.698 ms
GL 13.7021 ms
GL 13.698 ms
GL 13.7001 ms
GL 13.697 ms
GL 13.7032 ms
GL 13.7021 ms
GL 13.696 ms
GL 13.6919 ms
GL 13.7042 ms
GL 13.7011 ms
GL 13.7032 ms
GL 13.696 ms
GL 13.7103 ms
GL 13.696 ms
GL 13.7001 ms
GL 13.7062 ms
GL 13.7001 ms
GL 13.694 ms
GL 13.7001 ms
GL 13.7124 ms
GL 13.7042 ms
GL 13.7062 ms
GL 13.694 ms
GL 13.6868 ms
GL 13.698 ms
GL 13.6909 ms
GL 13.7052 ms
GL 13.7021 ms
GL 13.695 ms
GL 13.7042 ms
GL 13.7001 ms
GL 13.7052 ms
GL 13.698 ms
GL 13.6991 ms
GL 13.7001 ms
GL 13.7103 ms
GL 13.698 ms
GL 13.698 ms
GL 13.7062 ms
GL 13.6991 ms
GL 13.7073 ms
GL 13.6991 ms
GL 13.7001 ms
GL 13.7103 ms
GL 13.6991 ms
GL 13.6991 ms
GL 13.695 ms
GL 13.6991 ms
GL 13.6991 ms
GL 13.7001 ms
GL 13.698 ms
GL 13.6991 ms
GL 13.954 ms
GL 13.9858 ms
GL 13.698 ms
GL 13.6909 ms
GL 13.698 ms
GL 13.7011 ms
GL 13.696 ms
GL 13.697 ms
GL 13.7001 ms
GL 13.6929 ms
GL 13.695 ms
GL 13.7021 ms
GL 13.7021 ms
GL 13.8803 ms
GL 13.7052 ms
GL 13.6899 ms
GL 13.696 ms
GL 13.7083 ms
GL 13.7042 ms
GL 13.695 ms
GL 13.6909 ms
GL 13.6929 ms
GL 13.7093 ms
GL 13.7062 ms
GL 13.7042 ms
GL 13.7011 ms
GL 13.7001 ms
GL 13.7175 ms
GL 13.695 ms
GL 13.698 ms
GL 13.7052 ms
GL 13.7001 ms
GL 13.7021 ms
GL 13.7021 ms
GL 13.6991 ms
GL 13.7052 ms
GL 13.7001 ms
GL 13.7011 ms
GL 13.6991 ms
GL 13.7052 ms
GL 13.6909 ms
GL 13.7062 ms
GL 13.7011 ms
GL 13.6909 ms
GL 13.7001 ms
GL 13.7021 ms
GL 13.6919 ms
GL 13.7062 ms
GL 13.7062 ms
GL 13.6929 ms
GL 13.7011 ms
GL 13.7011 ms
GL 13.7093 ms
GL 13.7083 ms
GL 13.6929 ms
GL 13.6991 ms
GL 13.7021 ms
GL 13.7912 ms
GL 13.8045 ms
GL 13.8117 ms
GL 13.8045 ms
GL 13.7933 ms
GL 13.7923 ms
GL 13.7912 ms
GL 13.7943 ms
GL 13.7953 ms
GL 13.7892 ms
GL 13.7943 ms
GL 13.8035 ms
GL 13.8066 ms
GL 14.0657 ms
GL 13.8097 ms
GL 13.8056 ms
GL 13.8056 ms
GL 13.8138 ms
GL 13.8107 ms
GL 13.8148 ms
GL 13.8035 ms
GL 13.8056 ms
GL 13.8066 ms
GL 13.8107 ms
GL 13.8004 ms
GL 13.7974 ms
GL 13.8107 ms
GL 13.8117 ms
GL 13.8117 ms
GL 13.8066 ms
GL 13.8097 ms
GL 13.8035 ms
GL 13.8076 ms
GL 13.8138 ms
GL 13.8045 ms
GL 13.8097 ms
GL 13.8086 ms
GL 13.8117 ms
GL 13.8056 ms
GL 13.8148 ms
GL 13.8076 ms
GL 13.7994 ms
GL 13.8056 ms
GL 13.8056 ms
GL 13.8097 ms
GL 13.8209 ms
GL 13.8076 ms
GL 13.8138 ms
GL 13.8015 ms
GL 13.8148 ms
GL 13.8086 ms
GL 13.7984 ms
GL 13.8097 ms
GL 13.8127 ms
GL 13.8168 ms
GL 13.8056 ms
GL 13.8056 ms
GL 13.8107 ms
GL 13.8168 ms
GL 13.8076 ms
GL 13.8148 ms
GL 13.8076 ms
GL 13.8117 ms
GL 13.8066 ms
GL 13.8035 ms
GL 13.8066 ms
GL 13.8097 ms
GL 13.8086 ms
GL 13.8127 ms
GL 13.8035 ms
GL 13.8066 ms
GL 13.8066 ms
GL 13.8097 ms
GL 13.8015 ms
GL 13.8127 ms
GL 13.8107 ms
GL 13.8035 ms
GL 13.8045 ms
GL 13.8056 ms
GL 13.8127 ms
GL 13.8086 ms
GL 13.8117 ms
GL 14.551 ms
GL 13.8097 ms
GL 13.8035 ms
GL 13.8015 ms
GL 13.8097 ms
GL 13.822 ms
GL 13.8066 ms
GL 13.8035 ms
GL 13.8179 ms
GL 13.8107 ms
GL 14.0114 ms
GL 13.8076 ms
GL 13.8097 ms
GL 13.8056 ms
GL 13.8107 ms
GL 13.8117 ms
GL 13.8148 ms
GL 13.8015 ms
GL 13.8097 ms
GL 13.8015 ms
GL 13.8148 ms
GL 13.8076 ms
GL 13.8097 ms
GL 13.8086 ms
GL 13.8004 ms
GL 13.8076 ms
GL 13.8056 ms
GL 13.8117 ms
