Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/Schulgebaeude.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
1080
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(42420 nodes)
node size:  25312
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.009216 ms
No camera view plamure_camera_Schulgebaeude_1 found, won't load.
Frame: 3: g_rs.camera: 0x63b5c1ef8880
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x63b5c1ef8880
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x63b5c1ef8880
GL 0.001024 ms
Frame: 6: g_rs.camera: 0x63b5c1ef8880
GL 0 ms
Frame: 7: g_rs.camera: 0x63b5c1ef8880
GL 234.702 ms
Frame: 8: g_rs.camera: 0x63b5c1ef8880
GL 0.12288 ms
Frame: 9: g_rs.camera: 0x63b5c1ef8880
GL 0.12288 ms
GL 93.3038 ms
GL 0.16384 ms
GL 0.159744 ms
GL 0.208896 ms
GL 0.2048 ms
GL 0.2048 ms
GL 0.27136 ms
GL 0.267264 ms
GL 0.364544 ms
GL 0.362496 ms
GL 0.362496 ms
GL 0.362496 ms
GL 0.429056 ms
GL 0.423936 ms
GL 0.42496 ms
GL 0.42496 ms
GL 0.423936 ms
GL 0.42496 ms
GL 0.523264 ms
GL 0.519168 ms
GL 0.519168 ms
GL 0.518144 ms
GL 0.518144 ms
GL 0.518144 ms
GL 0.519168 ms
GL 0.518144 ms
GL 0.519168 ms
GL 0.519168 ms
GL 0.51712 ms
GL 0.51712 ms
GL 0.519168 ms
GL 0.519168 ms
GL 0.591872 ms
GL 0.589824 ms
GL 0.589824 ms
GL 0.5888 ms
GL 0.5888 ms
GL 0.589824 ms
GL 0.587776 ms
GL 0.5888 ms
GL 0.589824 ms
GL 0.589824 ms
GL 0.668672 ms
GL 0.666624 ms
GL 0.6656 ms
GL 0.666624 ms
GL 0.666624 ms
GL 0.667648 ms
GL 0.6656 ms
GL 0.666624 ms
GL 0.666624 ms
GL 0.664576 ms
GL 0.666624 ms
GL 0.667648 ms
GL 0.666624 ms
GL 0.666624 ms
GL 0.666624 ms
GL 0.848896 ms
GL 0.842752 ms
GL 0.845824 ms
GL 0.843776 ms
GL 0.845824 ms
GL 0.843776 ms
GL 0.842752 ms
GL 0.843776 ms
GL 0.8448 ms
GL 0.843776 ms
GL 0.845824 ms
GL 0.8448 ms
GL 0.843776 ms
GL 0.843776 ms
GL 0.843776 ms
GL 0.843776 ms
GL 0.843776 ms
GL 0.843776 ms
GL 0.843776 ms
GL 0.8448 ms
GL 0.8448 ms
GL 0.843776 ms
GL 0.8448 ms
GL 0.8448 ms
GL 0.8448 ms
GL 0.843776 ms
GL 0.8448 ms
GL 0.843776 ms
GL 0.8448 ms
GL 0.843776 ms
GL 0.845824 ms
GL 0.846848 ms
GL 0.845824 ms
GL 0.8448 ms
GL 0.845824 ms
GL 0.845824 ms
GL 1.19398 ms
GL 1.19091 ms
GL 1.19091 ms
GL 1.19091 ms
GL 1.18989 ms
GL 1.18989 ms
GL 1.18989 ms
GL 1.19296 ms
GL 1.19091 ms
GL 1.18784 ms
GL 1.18886 ms
GL 1.18989 ms
GL 1.18989 ms
GL 1.18886 ms
GL 1.19194 ms
GL 1.19091 ms
GL 1.18886 ms
GL 1.18886 ms
GL 1.19091 ms
GL 1.18886 ms
GL 1.18886 ms
GL 1.18886 ms
GL 1.18989 ms
GL 1.19296 ms
GL 1.19091 ms
GL 1.19091 ms
GL 1.18886 ms
GL 1.18886 ms
GL 1.18989 ms
GL 1.76742 ms
GL 1.76435 ms
GL 1.7623 ms
GL 1.76333 ms
GL 1.7623 ms
GL 1.76538 ms
GL 1.76333 ms
GL 1.76333 ms
GL 1.76435 ms
GL 1.76538 ms
GL 1.76435 ms
GL 1.76026 ms
GL 1.76742 ms
GL 1.76538 ms
GL 1.76333 ms
GL 1.7623 ms
GL 2.35315 ms
GL 2.3552 ms
GL 2.34803 ms
GL 2.35008 ms
GL 2.34496 ms
GL 2.55795 ms
GL 2.5559 ms
GL 2.55488 ms
GL 2.54874 ms
GL 2.54976 ms
GL 2.54669 ms
GL 2.56717 ms
GL 2.56512 ms
GL 2.57434 ms
GL 2.5641 ms
GL 2.56717 ms
GL 2.56922 ms
GL 2.57229 ms
GL 2.57229 ms
GL 2.56717 ms
GL 2.57024 ms
GL 2.56614 ms
GL 2.56614 ms
GL 2.56819 ms
GL 2.56512 ms
GL 2.56512 ms
GL 2.5641 ms
GL 2.56614 ms
GL 2.5641 ms
GL 2.56614 ms
GL 2.56922 ms
GL 2.56614 ms
GL 2.56614 ms
GL 2.56819 ms
GL 2.5641 ms
GL 2.57331 ms
GL 2.56717 ms
GL 2.57024 ms
GL 2.56922 ms
GL 2.55898 ms
GL 2.56922 ms
GL 2.56819 ms
GL 2.5641 ms
GL 2.56922 ms
GL 2.56614 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.56717 ms
GL 2.56922 ms
GL 2.56922 ms
GL 2.56717 ms
GL 2.56922 ms
GL 2.56614 ms
GL 2.56819 ms
GL 2.56922 ms
GL 2.56819 ms
GL 2.57024 ms
GL 2.56819 ms
GL 2.56717 ms
GL 2.56819 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.57024 ms
GL 2.56922 ms
GL 2.57126 ms
GL 2.56819 ms
GL 2.57229 ms
GL 2.56512 ms
GL 2.56307 ms
GL 2.57331 ms
GL 2.56614 ms
GL 2.56205 ms
GL 2.56614 ms
GL 2.56307 ms
GL 2.56512 ms
GL 2.56102 ms
GL 2.56819 ms
GL 2.5641 ms
GL 2.56614 ms
GL 2.56819 ms
GL 2.56922 ms
GL 2.56512 ms
GL 2.56717 ms
GL 2.56512 ms
GL 2.56205 ms
GL 2.56819 ms
GL 2.56717 ms
GL 2.57024 ms
GL 2.56307 ms
GL 2.56512 ms
GL 2.56922 ms
GL 2.57024 ms
GL 2.56819 ms
GL 2.56717 ms
GL 2.56819 ms
GL 2.56717 ms
GL 2.56717 ms
GL 2.56717 ms
GL 2.56614 ms
GL 2.56922 ms
GL 2.56819 ms
GL 2.56922 ms
GL 2.56717 ms
GL 2.5641 ms
GL 2.57229 ms
GL 2.56614 ms
GL 2.56922 ms
GL 2.5641 ms
GL 2.56614 ms
GL 2.57331 ms
GL 2.57229 ms
GL 2.57024 ms
GL 2.5641 ms
GL 2.57126 ms
GL 2.57229 ms
GL 2.56512 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.56922 ms
GL 2.57126 ms
GL 2.56922 ms
GL 2.56819 ms
GL 2.57024 ms
GL 2.57024 ms
GL 2.56717 ms
GL 2.56819 ms
GL 2.56614 ms
GL 2.56307 ms
GL 2.57126 ms
GL 2.5641 ms
GL 2.56512 ms
GL 2.56922 ms
GL 2.56614 ms
GL 2.57126 ms
GL 2.56717 ms
GL 2.56922 ms
GL 2.57024 ms
GL 2.57229 ms
GL 2.56614 ms
GL 2.57024 ms
GL 2.56512 ms
GL 2.56819 ms
GL 2.56614 ms
GL 2.56717 ms
GL 2.5641 ms
GL 2.57024 ms
GL 2.56307 ms
GL 2.56614 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.56819 ms
GL 2.56922 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.57024 ms
GL 2.57024 ms
GL 2.56717 ms
GL 2.56307 ms
GL 2.56614 ms
GL 2.56922 ms
GL 2.56922 ms
GL 2.57331 ms
GL 2.56614 ms
GL 2.56819 ms
GL 2.57024 ms
GL 2.56512 ms
GL 2.56512 ms
GL 2.56819 ms
GL 2.56512 ms
GL 2.56307 ms
GL 2.56205 ms
GL 2.56512 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.56307 ms
GL 2.56614 ms
GL 2.57126 ms
GL 2.56922 ms
GL 2.55795 ms
GL 2.56512 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.57229 ms
GL 2.56922 ms
GL 2.5641 ms
GL 2.56614 ms
GL 2.57126 ms
GL 2.56717 ms
GL 2.56717 ms
GL 2.56922 ms
GL 2.56717 ms
GL 2.56512 ms
GL 2.56512 ms
GL 2.57331 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.56205 ms
GL 2.56512 ms
GL 2.56922 ms
GL 2.56717 ms
GL 2.56614 ms
GL 2.56819 ms
GL 2.56614 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.5641 ms
GL 2.56614 ms
GL 2.5641 ms
GL 2.57126 ms
GL 2.56819 ms
GL 2.57331 ms
GL 2.56512 ms
GL 2.57024 ms
GL 2.57024 ms
GL 2.56614 ms
GL 2.57126 ms
GL 2.56614 ms
GL 2.57126 ms
GL 2.56922 ms
GL 2.57126 ms
GL 2.57126 ms
GL 2.56717 ms
GL 2.56922 ms
GL 2.57126 ms
GL 2.56922 ms
GL 2.56819 ms
GL 2.56614 ms
GL 2.56922 ms
GL 2.56512 ms
GL 2.56819 ms
GL 2.5641 ms
GL 2.57126 ms
GL 2.56205 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.57229 ms
GL 2.56717 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.56717 ms
GL 2.56717 ms
GL 2.56819 ms
GL 2.56922 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.56512 ms
GL 2.57024 ms
GL 2.57331 ms
GL 2.56819 ms
GL 2.56717 ms
GL 2.5641 ms
GL 2.56922 ms
GL 2.57024 ms
GL 2.56512 ms
GL 2.56614 ms
GL 2.56512 ms
GL 2.56819 ms
GL 2.56614 ms
GL 2.57024 ms
GL 2.57126 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.56205 ms
GL 2.56717 ms
GL 2.56922 ms
GL 2.56819 ms
GL 2.56819 ms
GL 2.5641 ms
GL 2.56614 ms
GL 2.57024 ms
GL 2.57126 ms
