Frame: 1: g_rs.camera: 0
Frame: 2: g_rs.camera: 0
[33munity_dummy.cpp[0m[31m (line 87): [0mBefore initialising plamure
[33munity_dummy.cpp[0m[31m (line 90): [0mTrying to register model: ../../assets/Schulgebaeude.bvh
[33mmodel_database.cpp[0m[31m (line 169): [0m0
[33mplamure.cpp[0m[31m (line 1404): [0mBefore initialising plamure
Trying to register new model with id: 0  --: /home/jre/git/plamure/framework/plamure.cpp : 1406 : register_model
[33munity_dummy.cpp[0m[31m (line 93): [0mregistered model with id: 0
720
Could not retrieve uniform location for uniform: view_projection
[33munity_dummy.cpp[0m[31m (line 103): [0mAfter Init
[33munity_dummy.cpp[0m[31m (line 114): [0mAfter Register Uniform
Creating gpu_context
lamure: context 0 render budget (MB): 1024(42420 nodes)
node size:  25312
lamure: context 0 upload budget (MB): 1024
Render buf size is 1023 MB 
Render buf size is 1023 MB 
Render buf size is 1023 MB 
GL 0.007168 ms
Loaded camera view 'plamure_camera_Schulgebaeude_1'.
Frame: 3: g_rs.camera: 0x6120b41a9270
GL 0.001024 ms
Frame: 4: g_rs.camera: 0x6120b41a9270
GL 0.001024 ms
Frame: 5: g_rs.camera: 0x6120b41a9270
GL 0 ms
Frame: 6: g_rs.camera: 0x6120b41a9270
GL 244.026 ms
Frame: 7: g_rs.camera: 0x6120b41a9270
GL 0.002048 ms
Frame: 8: g_rs.camera: 0x6120b41a9270
GL 0.009216 ms
Frame: 9: g_rs.camera: 0x6120b41a9270
GL 99.0372 ms
GL 0.004096 ms
GL 0.003072 ms
GL 0.003072 ms
GL 0.00512 ms
GL 0.004096 ms
GL 0.004096 ms
GL 0.004096 ms
GL 0.00512 ms
GL 0.00512 ms
GL 0.00512 ms
GL 0.006144 ms
GL 0.008192 ms
GL 0.007168 ms
GL 0.007168 ms
GL 0.006144 ms
GL 0.007168 ms
GL 0.007168 ms
GL 0.011264 ms
GL 0.01024 ms
GL 0.01024 ms
GL 0.011264 ms
GL 0.011264 ms
GL 0.01024 ms
GL 0.01024 ms
GL 0.011264 ms
GL 0.017408 ms
GL 0.01536 ms
GL 0.014336 ms
GL 0.01536 ms
GL 0.01536 ms
GL 0.014336 ms
GL 0.01536 ms
GL 0.016384 ms
GL 0.01536 ms
GL 0.016384 ms
GL 0.024576 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.024576 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.024576 ms
GL 0.022528 ms
GL 0.022528 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.024576 ms
GL 0.023552 ms
GL 0.023552 ms
GL 0.038912 ms
GL 0.037888 ms
GL 0.037888 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.037888 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.037888 ms
GL 0.038912 ms
GL 0.037888 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.039936 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.039936 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.037888 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.038912 ms
GL 0.067584 ms
GL 0.065536 ms
GL 0.064512 ms
GL 0.064512 ms
GL 0.065536 ms
GL 0.064512 ms
GL 0.064512 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.063488 ms
GL 0.065536 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.065536 ms
GL 0.065536 ms
GL 0.067584 ms
GL 0.065536 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.067584 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.06656 ms
GL 0.065536 ms
GL 0.064512 ms
GL 0.116736 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.115712 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.113664 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.115712 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.115712 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.113664 ms
GL 0.11264 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.114688 ms
GL 0.113664 ms
GL 0.113664 ms
GL 0.11264 ms
GL 0.113664 ms
GL 0.208896 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.2048 ms
GL 0.2048 ms
GL 0.2048 ms
GL 0.2048 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.2048 ms
GL 0.205824 ms
GL 0.2048 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.2048 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.205824 ms
GL 0.2048 ms
GL 0.206848 ms
GL 0.205824 ms
GL 0.16384 ms
GL 0.165888 ms
GL 0.164864 ms
GL 0.16384 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.16384 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.16384 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.164864 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.166912 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.166912 ms
GL 0.164864 ms
GL 0.164864 ms
GL 0.165888 ms
GL 0.166912 ms
GL 0.164864 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.164864 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.166912 ms
GL 0.166912 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.166912 ms
GL 0.164864 ms
GL 0.166912 ms
GL 0.164864 ms
GL 0.166912 ms
GL 0.166912 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.167936 ms
GL 0.165888 ms
GL 0.166912 ms
GL 0.165888 ms
GL 0.165888 ms
GL 0.289792 ms
GL 0.288768 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.284672 ms
GL 0.287744 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.284672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.285696 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.28672 ms
GL 0.287744 ms
GL 0.28672 ms
GL 0.285696 ms
GL 0.287744 ms
GL 0.413696 ms
GL 0.41472 ms
GL 0.415744 ms
GL 0.41472 ms
GL 0.415744 ms
GL 0.41472 ms
GL 0.41472 ms
GL 0.41472 ms
GL 0.416768 ms
GL 0.415744 ms
GL 0.415744 ms
GL 0.41472 ms
GL 0.41472 ms
GL 0.41472 ms
GL 0.41472 ms
GL 0.415744 ms
GL 0.41472 ms
GL 0.415744 ms
GL 0.415744 ms
GL 0.41472 ms
